Lew Fields
John Ashton
Fames Russo
Rita Johnson
Shepperd Strudwick
J.M. kerrigan
Derek Jarman
John Quentin
Francois Loyer
Mel Blanc
Mel Torme
Isabella Rosselini
Penny Peterson
Jaques Dutronc
Grigori Alxandrov
Maxim Strauch
Mikhail Gomarov
Lou Diamond Phillips
Esai Morales
Rosana deSoto
Danielle vonZerneck
Elizabeth Pena
Steve Waddington
Andrew Tiernan
Jody Graber
s a
Annie Lennox
Outrage
Vladimir Barsky
Aleksandr Antonov
Grigori Alexandrov
Levshin
William Walsh
William E. Shay
Edmund Mortimer
Lewis Hooper
Francis Smith
Leah Baiurd
Mrs.~Allen Walker
Millie Eisten
Katherine Lee
Herbert Brenon
Brandon Hammon
Vanessa L. Williams
Vivica A. Fox
Nia Long
Michael Beach
Danny Valdez
Steven Weber
Peter Friedman
Stephen Tobolowsky
Ann Bancroft
Sue Lyons
William Bebdix
J.C. Quinn
Gloria LeRoy
Frank Stallone
James Rebhorn
Gabrielle Anwar
Scott Bakula
Corbin Benson
Eric Bruskotter
Takaakki Subibasha
Eric Bruskotter
s a
s a
Mark Scott
Stephen Mailer
Annabella Sciora
Uta Hagen
Fisher Stevens
Jean Lodge
Hermine Demoriane
Lino Brocka
Sidney James
Paul Seiler
Traci Lind
Bill Pullman
Gabriel Byrne
Andy MacDowell
s a
Sam Neil
Solveig Dommartin
Villalongo
Beverly Hills
s a
s a
Cary Elwes
Andre theGiant
Anne Dyson
Willoughby Gray
Louis Prima
Solveig Dommartin
Otto Sandler
Jaques Villeret
Mitzi Capuchin
s a
Jasmine Guy
s a
Dave King
Brian Hall
Eddie Constantine
Stephen Davis
Martha Becket
The Ritz~Brothers
Edgar bergen
Charlie McCarthy
Helen Jepson
Phil Baker
Elfa Logan
Bobby Clark
Lauren Bacll
Mimi Roger
Brenda Vaccar
Barbara Bouchet.
Gary Morton
Elisabeth NeumannViertel
Helen Vita
Sigrid vonRichthoven
Rolf Walter
Gerd Vespermann
Georg Hartmann
Estrongo Nachams
Louise Quick
Carroll Baker
Leland Palmer
Bobbie Burns
Billy Crudup
Billy ob Thornton
Gillian Anderson
Claire Danes
Gillian Anderson
Betty Lou Gerson
Nastassja Kinski
Hunter Carson
Aurore Clement
Bernard Wicki
Anne Gadepeau
s a
John Dunn Hill
s a
s a
Hans Junkermann
C. Thomas Howell
Darren Dalton
Arthur Miller
Volker Schlondorff
s a
Penelope Wilton
Sophie Mgcina
Joseph Marcell
Josette Sino
Zakes Mokae
Gwen Watford
Claire Danes
W.R. Walter
Olive Fuller Golden
Harold Lockwood
Forrest Whitaker
Gertrude Olmsted
Edward Connelly
Mackenzie Aston
Emilio Bonucci
s a
Ingrid Lang
Milla Josovich
s a
Phil Fondacaro
Robert Pastorelli
s a
Norman D. Golden~II
Jan Russell
s a
Rosie Perez
Alwin Nikolais
Murray Louis
Sam Fuller
Helen Kallianiotes
Roger E. Mosley
Woodrow Parfrey
JoAnna Cassidy
Lowell Thomas
Scatman Crother
Ellen Bursteyn
Julia Anne Robinson
Charles Lavine
Gary Goodrow
Sully Bovar
Josh Mostel
Billy `Green' Bush
Edith Head
Bill Ihnen
Jill Schoeler
Alex HydeWhite
Bill Nighy
Roger E. Mosely
Ken Lerner
Deborah Offner
Andy Romand
George Cleveland
Charles DMmcGraw
Lon Chaney~jr
Claude Atkins
Lawrence Dobkin
Whilt Bissell
Carl `Alfalfa' Switzer
Jenny Seagrove
Faith Brooks
D.W. Moffett
Barry John
Protima Bedi
s a
Tom Everett Scott
s a
Philip vanZandt
Donna Anderson
Harry Morgon
Claire Forlani
s a
Jake Weber
Mel Wells
Stanley Clements
Gillian Anderson
Terry-Thomas
The Three Stoges
Howard Keele
Sylvie Testau
Emanuelle Laborit
Howie Szego.
Eric Galen
Sybille Carrerra
Mathias Haupert
Hansa Czyaparski
Florence Desmond
Alastair Sim
Gus McNaugton
Harry Tate
Marie Murray
Broncho Billy Andersom
George Barnes
Frank Hanaway
Arthur White
Vivian Vaughn
Jeannie Carson
Carl Jaffe
James K. Hackett
Henning Moritzen
UlrichThomsen
Brithe Neumann
s a
s a
John Burke
Remy Ryan
Jill Hennessy
Joseph Sweeny
Lily Langtry
Barbara Nicholas
Carol Lawrence
Russel Collins
Harry Liedtke
Paul Biensfeldt
Pamela Brown
Leo G. McCarroll
s a
s a
s a
s a
Victor Jansen
Julius Falkenstein
Harry Liedtke
Alen McCowen
Dan Hedaya
Frances McDormand
M.Emmet Walsh
Samm-Art Williams
s a
s a
Joe Bologna
